Nama Aplikasi,Nama Pengguna,Komentar,Rating,Tanggal Ulasan
Netflix,Reza purnama.t,gabisa nonton anjoy,1,1/26/2026 10:30
Netflix,ira sofiyani,loading doang gak kebuka filmnya...hadew,1,1/26/2026 9:57
Netflix,Nurus syamsi Syamsi,please tambah urki series dong min judulnya arafta🥰❤️,5,1/26/2026 7:41
Netflix,Planet Review,download application because of Solo Leveling,5,1/26/2026 6:45
Netflix,Qaila Apriza,Gajelas banget pliss pendaftaran bertele-tele padahal pengen banget nonton malah pendaftarannya bertele-tele,1,1/26/2026 6:42
Netflix,Nur Hidayah,film nya itu itu aja...,5,1/26/2026 2:47
Netflix,muhammad bisri,"Sistem pembayaran yang dilakukan di Netflix masih belum berpihak ke user. Walaupun sudah membatalkan keanggotaan, jika saldo e-wallet masih terisi dan/atau ada film download yang lupa kita hapus, dari aplikasi akan menganggap kita masih berlangganan. Padahal, kita sudah tidak berniat untuk melanjutkan langganan. Menghapus akses pembayaran pun, hanya bisa dilakukan di Netflix dan itu tidak bisa dilakukan kalau hanya punya 1 metode pembayaran. Semoga setelah menghapus akun, e-wallet saya aman.",1,1/26/2026 0:14
Netflix,Self erikson,"kenapa harus berlangganan sih bagaimana supaya bisa stop berlangganan agar dana kita gak kepotong terus harus nya kan lebih flexsibel kapan kita mau nonton baru beli ,karna kalo pas lagi gak bisa nonton karna sesuatu hal kan rugi kita langganan tapi gak di tonton,,,, tolong pihak netflix agar lebih flexibel dalam hal pembayaran ,dan bagaimana cara stop berlangganan,,,,???",4,1/25/2026 16:49
Netflix,Headlights,gua kasih satu bintang kenapa .. daftar Netflix Eror terus gak jelas emang,1,1/25/2026 16:27
Netflix,ahmad bahtiar,"ribet, susah login pake pasword harus klik link via email terus",1,1/25/2026 11:58
Netflix,Ahmad Tawakkal,udah lumayan bagus udah nggak repot2 ke bioskop,4,1/25/2026 11:05
Netflix,Muh Faezya Fatullah,kita syukuri saja dan bagus tpi sedikit bermasalah,5,1/25/2026 6:51
Netflix,pagiq nanang,terjadi wiped masal paket dibatalkan secara sepihak.. terus sekarang tampilan login di ubah bikin repot pengguna,1,1/24/2026 21:47
Netflix,MAULANA TV,"jelekkkk... masih bagus Video,,, gratis lg",1,1/24/2026 20:18
Netflix,Baim Emba,nak mbayar gle bhok,1,1/24/2026 18:31
Netflix,Suheryanto adityo,"aplikasi nyedot saldo doank, login susah",2,1/24/2026 16:42
Netflix,4k Nass,buka di laptop muterr terus apasi,2,1/24/2026 15:49
Netflix,Agung Kece,saya baru pertama kali menonton ini. tapi bisa menonton anime dan ada juga dubbing indonesia nya,5,1/24/2026 15:19
Netflix,Adi Abas,wkk banyak yg kasih rating buruk gak jadi install ah,1,1/24/2026 14:51
Netflix,kamilah kamilah,"tayangin Drakor terbaru dong please itu ada drakor yang udah ada lanjut season tapi disini gak masa masih season 1, kemarin aku liat disebelah udah ada season 3 nya. masa ini masih season 1, ayoolah update lagi film film nya 🥲",4,1/24/2026 14:04
Netflix,Rini Anggraini,lebih suka nonton disini karna kaya lengkap gituuu trus bisa nonton yang baru baru aja rilis pokokmen the best deh🤭🤭🤭🤭✨✨,5,1/24/2026 13:04
Netflix,Naufal Syahputra,tolong tambahkan fitur timer sleep sama screenshot ehehehe,5,1/24/2026 11:04
Netflix,Muhammad Sahl Faiz,"Udah bayar mahal-mahal tapi kualitas tayangannya gak bisa dipreferensikan. Gw maunya nonton di Full HD to 4K, kenapa sering burik dah. Padahal di pengaturan saya sudah setting kualitas audio video di TINGGI, tetapi tetap sering burik. Internet speed gw lambat? Mana ada kocak, Internet speed gw udah cepet nonton youtube 4K lancar aja. 50-100 Mbps kurang cepet apa? Cara Refund gimana dah? Kocak betul platform ini.",1,1/24/2026 9:28
Netflix,Brian Daryl Ariyoga,"aplikasinya sudah sangat bagus,film film nya juga berkualitas semua,tapi tolong kembalikan fitur tekan untuk mempercepat 🙏",4,1/24/2026 6:14
Netflix,Surianto Ktg,Very recommended platform to watch shows and movies!,5,1/24/2026 5:20
Netflix,Amelia Hadiyatul Mar'iyyah,udh ke anggotaan udh download filmnya masiii lemott bgtt loading mulu,1,1/24/2026 3:43
Netflix,Seraphya Keban,"apaan udah langganan tapi GK bisa nonton muter terus, padahal wifi nya oke😏😏👎👎👎",1,1/24/2026 2:35
Netflix,Delti Amelinda,"gila padahal saya sudah membatalkan langganan pembayaran dishoope pay tba"" pembayaran dilakukan dan notif tidak masuk sama sekali ke akun google saya , aplikasi ini sangat buruk dan merugikan saya",1,1/23/2026 22:27
Netflix,Vira Yuliani,"kurang bagus sekarang netflix, terlalu ribet padahal tinggal kasih kolom email dan sandi aja ketika masuk",2,1/23/2026 21:48
Netflix,Mas Bro,"saya sudah bayar 120.000 tapi dilayar masih ada tulisan ""PERBAHARUI PEMBAYARANMU"" dan saya tidak bisa film film yang ada netflix",1,1/23/2026 17:36
Netflix,Elham Haliq,"tertera paket tontonan berlangganan selama 30 hari, baru beberapa hari udah gabisa dipakai (harus melakukan pembayaran ke2 kali)",1,1/23/2026 16:39
Netflix,Salsa Dila,demi apapun g ikhlas uangku tbtb diambil netflix pdhl gda pembayaran apa apa lagi,1,1/23/2026 16:31
Netflix,Nining Yuningsih,akses berhenti langganan mudah,5,1/23/2026 12:44
Netflix,Norma Zidda,"Waktu di buka malah keluar sendiri, waeee ? Pdhl koneksi internet lancar"" ajaa",5,1/23/2026 8:05
Netflix,Lestari Apalah2,parah ajig aplikasi netflik ribet amat kalo sudah pernah beli paket ribet berhenti berlangganan nya hadehhhh nyesel gua maketin di netflik,1,1/23/2026 7:34
Netflix,Fardanakmal Kurniawan,apk nya bagus tapi caranya daftar gimana? 🙂‍↕️,1,1/23/2026 7:25
Netflix,Bilaaa cutess,Jelek nggak bisa login padahal sudah bayar,1,1/23/2026 7:21
Netflix,Biongo Ngana,sangat bagus di gunkn,5,1/23/2026 6:33
Netflix,Dinda Selseli,"aplikasi nya bayar sendiri padahal gak ada bayar, mau nonton juga film nya gak bisa di putar. Balikin uang gua woy",1,1/23/2026 6:15
Netflix,Ahmad Fauzi,pendaftaran suruh bayar,1,1/23/2026 4:45
Netflix,Julius Perdana,tidak bisa di play padahal udah clear data dan cache sudah bayar langganan dan paket internet masih banyak masih saja tidak bisa play film,1,1/23/2026 1:50
Netflix,Muhammad fathan,saldo dana sedot tapi ga bisa ntn netflik mau daftar ulang suruh bayar lagi dasar apk pemerasan,1,1/23/2026 1:27
